year,season,noc,iso3,country_name,athletes,female_athletes,male_athletes,female_athlete_share,female_share,avg_age,median_age,avg_height,avg_weight,athlete_event_entries,sports_participated,events_participated
1896,Summer,AUS,AUS,Australia,1,0,1,0.0,0.0,22.0,22.0,,,5,2,5
1896,Summer,AUT,AUT,Austria,3,0,3,0.0,0.0,21.75,23.0,,,8,3,8
1896,Summer,DEN,DNK,Denmark,3,0,3,0.0,0.0,25.933333333333334,29.0,,,15,5,12
1896,Summer,FRA,FRA,France,12,0,12,0.0,0.0,19.789473684210527,19.0,,,26,6,18
1896,Summer,GBR,GBR,United Kingdom,10,0,10,0.0,0.0,26.526315789473685,23.0,188.0,102.0,25,7,19
1896,Summer,GER,DEU,Germany,19,0,19,0.0,0.0,24.261904761904763,24.0,163.6818181818182,64.71428571428571,94,6,27
1896,Summer,GRE,GRC,Greece,102,0,102,0.0,0.0,21.235294117647058,21.0,175.66666666666666,78.0,148,9,39
1896,Summer,HUN,HUN,Hungary,7,0,7,0.0,0.0,22.642857142857142,23.0,,,18,6,14
1896,Summer,ITA,ITA,Italy,1,0,1,0.0,0.0,,,,,1,1,1
1896,Summer,SUI,CHE,Switzerland,3,0,3,0.0,0.0,30.0,30.0,,,8,2,5
1896,Summer,SWE,SWE,Sweden,1,0,1,0.0,0.0,21.0,21.0,,,5,2,5
1896,Summer,USA,USA,United States,14,0,14,0.0,0.0,23.074074074074073,22.0,179.875,72.46153846153847,27,3,16
1900,Summer,ARG,ARG,Argentina,1,0,1,0.0,0.0,23.0,23.0,,,1,1,1
1900,Summer,AUS,AUS,Australia,2,0,2,0.0,0.0,22.0,23.0,178.0,71.0,6,2,6
1900,Summer,AUT,AUT,Austria,16,0,16,0.0,0.0,24.5,22.5,176.5,,26,4,17
1900,Summer,BEL,BEL,Belgium,64,0,64,0.0,0.0,31.42222222222222,28.0,,64.5,100,10,31
1900,Summer,BOH,BOH,Czechia,7,1,6,0.14285714285714285,0.14285714285714285,27.166666666666668,24.0,,,9,4,9
1900,Summer,BRA,BRA,Brazil,1,0,1,0.0,0.0,20.0,20.0,,,3,1,3
1900,Summer,CAN,CAN,Canada,4,0,4,0.0,0.0,25.571428571428573,26.0,169.25,64.75,7,1,5
1900,Summer,COL,COL,Colombia,1,0,1,0.0,0.0,30.0,30.0,,,1,1,1
1900,Summer,CUB,CUB,Cuba,1,0,1,0.0,0.0,16.0,16.0,,,2,1,2
1900,Summer,DEN,DNK,Denmark,13,0,13,0.0,0.0,31.25,28.0,,,36,5,14
1900,Summer,ESP,ESP,Spain,9,0,9,0.0,0.0,29.9,28.0,,,12,4,7
1900,Summer,FRA,FRA,France,720,12,708,0.016666666666666666,0.016666666666666666,30.633474576271187,29.0,169.61904761904762,68.0,1071,19,81
1900,Summer,GBR,GBR,United Kingdom,104,1,103,0.009615384615384616,0.009615384615384616,29.504504504504503,28.0,182.33333333333334,84.44444444444444,146,16,39
1900,Summer,GER,DEU,Germany,76,0,76,0.0,0.0,23.86111111111111,22.0,168.5,70.25,103,10,27
1900,Summer,GRE,GRC,Greece,3,0,3,0.0,0.0,25.0,25.0,,,4,2,3
