year,season,noc,iso3,country_name,total_medals,gold_medals,silver_medals,bronze_medals,population,gdp_per_capita,gdp_total,medals_per_million_people,gold_per_million_people,medals_per_10k_gdp_per_capita,gold_per_10k_gdp_per_capita,medals_per_100b_gdp,gold_per_100b_gdp,sports_entered,events_entered,unique_athletes,has_population_match,has_gdp_per_capita_match,has_gdp_total_match,economic_data_complete
2024,Summer,AIN,AIN,AIN,5,1,3,1,,,,,,,,,,10,30,32,0,0,0,0
2008,Summer,AFG,AFG,Afghanistan,1,0,0,1,26482631.0,2191.5044,,0.037760598635384834,0.0,4.563075483672312,0.0,,,2,4,4,1,1,0,0
2012,Summer,AFG,AFG,Afghanistan,1,0,0,1,30560036.0,2985.319,,0.03272247454158758,0.0,3.349725774699454,0.0,,,4,6,6,1,1,0,0
2024,Summer,ALB,ALB,Albania,2,0,0,2,,21641.074,,,,0.924168550969328,0.0,,,4,9,8,0,1,0,0
1984,Summer,ALG,DZA,Algeria,2,0,0,2,21271969.0,,331207437500.0,0.09402044540399622,0.0,,,0.603851174084821,0.0,4,17,33,1,0,1,0
1992,Summer,ALG,DZA,Algeria,2,1,0,1,26628570.0,11241.415,272614500000.0,0.07510730016670066,0.03755365008335033,1.7791354558122798,0.8895677279061399,0.733636692105519,0.3668183460527595,7,27,36,1,1,1,1
1996,Summer,ALG,DZA,Algeria,3,2,0,1,29033045.0,10808.879,290448625000.0,0.10333053250184401,0.06888702166789601,2.775495960311888,1.8503306402079251,1.0328849034833614,0.6885899356555742,9,29,47,1,1,1,1
2000,Summer,ALG,DZA,Algeria,5,1,1,3,30903894.0,11558.221,335395593750.0,0.161791908812527,0.0323583817625054,4.325925244031932,0.8651850488063864,1.4907768894921565,0.29815537789843133,10,42,51,1,1,1,1
2008,Summer,ALG,DZA,Algeria,2,0,1,1,34816963.0,14206.776,559060250000.0,0.05744326407791513,0.0,1.4077789359105823,0.0,0.35774319494186896,0.0,12,44,57,1,1,1,1
2012,Summer,ALG,DZA,Algeria,1,1,0,0,37646165.0,14697.54,633323500000.0,0.026563130666828878,0.026563130666828878,0.6803859693526944,0.6803859693526944,0.1578971884037147,0.1578971884037147,12,29,39,1,1,1,1
2016,Summer,ALG,DZA,Algeria,2,0,2,0,40850719.0,15511.686,566563687500.0,0.04895874660125321,0.0,1.2893504935569222,0.0,0.3530053274019613,0.0,13,48,74,1,1,1,1
2024,Summer,ALG,DZA,Algeria,3,2,0,1,,15501.92,,,,1.9352441504020146,1.2901627669346765,,,15,47,46,0,1,0,0
1924,Summer,ARG,ARG,Argentina,6,1,3,2,9901098.0,,,0.6059933958839717,0.10099889931399528,,,,,11,39,109,1,0,0,0
1928,Summer,ARG,ARG,Argentina,7,3,3,1,11139114.0,,,0.6284162277179316,0.2693212404505421,,,,,12,40,98,1,0,0,0
1932,Summer,ARG,ARG,Argentina,4,3,1,0,12228636.0,,,0.32710107652235293,0.24532580739176474,,,,,7,30,47,1,0,0,0
1936,Summer,ARG,ARG,Argentina,7,2,2,3,13114548.0,,,0.5337583880130676,0.15250239657516218,,,,,8,31,68,1,0,0,0
1948,Summer,ARG,ARG,Argentina,7,3,3,1,16387059.0,,,0.4271663389995728,0.18307128814267404,,,,,16,101,295,1,0,0,0
