year,noc,iso3,country_name,total_medals,expected_medals,medal_overperformance,gold_medals,gdp_total,population,gdp_per_capita,sports_entered,events_entered,model_note
2024,AIN,AIN,AIN,5,11.16304347826087,-6.163043478260869,1,,,,10,30,year mean baseline: insufficient economic matches
2008,AFG,AFG,Afghanistan,1,11.127906976744185,-10.127906976744185,0,,26482631.0,2191.5044,2,4,year mean fallback: missing economic predictors
2012,AFG,AFG,Afghanistan,1,11.31764705882353,-10.31764705882353,0,,30560036.0,2985.319,4,6,year mean fallback: missing economic predictors
2024,ALB,ALB,Albania,2,11.16304347826087,-9.16304347826087,0,,,21641.074,4,9,year mean baseline: insufficient economic matches
1984,ALG,DZA,Algeria,2,11.659265638868579,-9.659265638868579,0,331207437500.0,21271969.0,,4,17,year OLS: log_gdp_total + log_population + sports_entered
1992,ALG,DZA,Algeria,2,3.215840803995865,-1.215840803995865,1,272614500000.0,26628570.0,11241.415,7,27,year OLS: log_gdp_total + log_population + sports_entered
1996,ALG,DZA,Algeria,3,2.8476952731877176,0.15230472681228235,2,290448625000.0,29033045.0,10808.879,9,29,year OLS: log_gdp_total + log_population + sports_entered
2000,ALG,DZA,Algeria,5,4.513201448657208,0.48679855134279215,1,335395593750.0,30903894.0,11558.221,10,42,year OLS: log_gdp_total + log_population + sports_entered
2008,ALG,DZA,Algeria,2,8.376973447019868,-6.376973447019868,0,559060250000.0,34816963.0,14206.776,12,44,year OLS: log_gdp_total + log_population + sports_entered
2012,ALG,DZA,Algeria,1,9.35049218857845,-8.35049218857845,1,633323500000.0,37646165.0,14697.54,12,29,year OLS: log_gdp_total + log_population + sports_entered
2016,ALG,DZA,Algeria,2,9.484080825181671,-7.484080825181671,0,566563687500.0,40850719.0,15511.686,13,48,year OLS: log_gdp_total + log_population + sports_entered
2024,ALG,DZA,Algeria,3,11.16304347826087,-8.16304347826087,2,,,15501.92,15,47,year mean baseline: insufficient economic matches
1924,ARG,ARG,Argentina,6,12.612903225806452,-6.612903225806452,1,,9901098.0,,11,39,year mean baseline: insufficient economic matches
1928,ARG,ARG,Argentina,7,10.470588235294118,-3.4705882352941178,3,,11139114.0,,12,40,year mean baseline: insufficient economic matches
1932,ARG,ARG,Argentina,4,13.214285714285714,-9.214285714285714,3,,12228636.0,,7,30,year mean baseline: insufficient economic matches
1936,ARG,ARG,Argentina,7,13.1875,-6.1875,2,,13114548.0,,8,31,year mean baseline: insufficient economic matches
1948,ARG,ARG,Argentina,7,11.552631578947368,-4.552631578947368,3,,16387059.0,,16,101,year mean baseline: insufficient economic matches
1952,ARG,ARG,Argentina,5,11.186046511627907,-6.186046511627907,1,,17698882.0,,15,77,year mean fallback: missing economic predictors
1956,ARG,ARG,Argentina,2,12.289473684210526,-10.289473684210526,0,,19049973.0,,9,32,year mean fallback: missing economic predictors
1960,ARG,ARG,Argentina,2,10.477272727272727,-8.477272727272727,0,,20386055.0,,15,54,year mean fallback: missing economic predictors
1964,ARG,ARG,Argentina,1,12.21951219512195,-11.21951219512195,0,,21769451.0,,14,78,year mean fallback: missing economic predictors
1968,ARG,ARG,Argentina,2,15.813953488372093,-13.813953488372093,0,,23150580.0,,12,60,year mean fallback: missing economic predictors
1972,ARG,ARG,Argentina,1,11.598950268814558,-10.598950268814558,0,113565664062.0,24644332.0,,12,62,year OLS: log_gdp_total + log_population + sports_entered
1988,ARG,ARG,Argentina,2,4.549968546696106,-2.549968546696106,0,210851093750.0,31780534.0,,18,53,year OLS: log_gdp_total + log_population + sports_entered
1992,ARG,ARG,Argentina,1,16.134625447936802,-15.134625447936802,0,316158843750.0,33693532.0,19476.283,17,68,year OLS: log_gdp_total + log_population + sports_entered
1996,ARG,ARG,Argentina,3,22.1181306992421,-19.1181306992421,0,612175000000.0,35513795.0,21695.596,20,102,year OLS: log_gdp_total + log_population + sports_entered
