country_name,noc,period_start,period_end,female_medals_start,female_medals_end,female_medal_growth_total,female_event_opportunity_start,female_event_opportunity_end,female_athlete_share_start,female_athlete_share_end,female_capture_ratio_start,female_capture_ratio_end,opportunity_expansion_component,participation_expansion_component,conversion_improvement_component,unexplained_component,dominant_growth_driver,decomposition_confidence,interpretation_text
Algeria,ALG,1984,1996,0.0,0.0,0.0,0.28054298642533937,0.35793357933579334,0.0,0.13333333333333333,0.0,0.0,0.0,,0.0,0.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Algeria 1984-1996: female medals moved from 0 to 0 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.0, participation component nan, conversion component 0.0, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: conversion factor could not be fully decomposed."
Algeria,ALG,1996,2008,0.0,1.0,1.0,0.35793357933579334,0.41721854304635764,0.13333333333333333,0.39285714285714285,0.0,1.1984126984126984,0.0,0.0,1.5,-0.5,conversion_improvement,medium,"Algeria 1996-2008: female medals moved from 0 to 1 (+1). Dominant descriptive driver: conversion_improvement. Opportunity component 0.0, participation component 0.0, conversion component 1.5, unexplained/scale component -0.5. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Argentina,ARG,1996,2008,0.0,2.0,2.0,0.35793357933579334,0.41721854304635764,0.26256983240223464,0.4015151515151515,0.0,0.7989417989417988,0.0,0.0,1.0,1.0,conversion_improvement,medium,"Argentina 1996-2008: female medals moved from 0 to 2 (+2). Dominant descriptive driver: conversion_improvement. Opportunity component 0.0, participation component 0.0, conversion component 1.0, unexplained/scale component 1.0. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Argentina,ARG,2008,2020,2.0,1.0,-1.0,0.41721854304635764,0.4715909090909091,0.4015151515151515,,0.7989417989417988,0.7068273092369477,0.2606421356421356,,-0.2606421356421356,-1.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Argentina 2008-2020: female medals moved from 2 to 1 (-1). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.26, participation component nan, conversion component -0.26, unexplained/scale component -1.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Argentina,ARG,2020,2024,1.0,1.0,0.0,0.4715909090909091,0.4796747967479675,,,0.7068273092369477,0.6949152542372881,0.01714173768243701,,-0.017141737682437038,2.7755575615628914e-17,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Argentina 2020-2024: female medals moved from 1 to 1 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.02, participation component nan, conversion component -0.02, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Armenia,ARM,1996,2008,0.0,0.0,0.0,0.35793357933579334,0.41721854304635764,0.0625,0.08,0.0,0.0,0.0,0.0,0.0,0.0,no_positive_female_medal_growth,low_small_growth,"Armenia 1996-2008: female medals moved from 0 to 0 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.0, participation component 0.0, conversion component 0.0, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Armenia,ARM,2008,2020,0.0,0.0,0.0,0.41721854304635764,0.4715909090909091,0.08,,0.0,0.0,0.0,,0.0,0.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Armenia 2008-2020: female medals moved from 0 to 0 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.0, participation component nan, conversion component 0.0, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Armenia,ARM,2020,2024,0.0,0.0,0.0,0.4715909090909091,0.4796747967479675,,,0.0,0.0,0.0,,0.0,0.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Armenia 2020-2024: female medals moved from 0 to 0 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.0, participation component nan, conversion component 0.0, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Australia,AUS,1984,1996,7.0,17.0,10.0,0.28054298642533937,0.35793357933579334,0.30165289256198347,0.40047961630695444,1.0396505376344087,1.15841086245914,1.931020116652779,2.925957216365368,-1.9057578208230266,7.04878048780488,unexplained_or_scale_change,medium,"Australia 1984-1996: female medals moved from 7 to 17 (+10). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 1.93, participation component 2.93, conversion component -1.91, unexplained/scale component 7.05. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Australia,AUS,1996,2008,17.0,23.0,6.0,0.35793357933579334,0.41721854304635764,0.40047961630695444,0.46064814814814814,1.15841086245914,1.1984126984126984,2.815730183655358,2.9771387705234025,-2.29286895417876,2.4999999999999996,participation_expansion,medium,"Australia 1996-2008: female medals moved from 17 to 23 (+6). Dominant descriptive driver: participation_expansion. Opportunity component 2.82, participation component 2.98, conversion component -2.29, unexplained/scale component 2.5. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
