year,season,noc,iso3,country_name,total_medals,gold_medals,silver_medals,bronze_medals,weighted_medal_score,population,gdp_total,gdp_per_capita,unique_athletes,sports_entered,events_entered,medals_per_million_people,gold_per_million_people,medals_per_100_athletes,gold_per_100_athletes,medals_per_entered_sport,medals_per_entered_event,weighted_score_per_athlete,weighted_score_per_entered_sport,medals_per_100b_gdp,gold_per_100b_gdp,rank_total_medals,rank_medals_per_million_people,rank_medals_per_100_athletes,rank_medals_per_entered_sport,rank_weighted_score_per_athlete,small_sample_flag,extreme_single_medal_flag,efficiency_label,efficiency_interpretation_note,has_population_match,has_gdp_total_match,economic_data_complete
2024,Summer,AIN,AIN,AIN,5,1,3,1,10,,,,32,10,30,,,15.625,3.125,0.5,0.16666666666666666,0.3125,1.0,,,43.0,,18.0,30.0,19.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
2008,Summer,AFG,AFG,Afghanistan,1,0,0,1,1,26482631.0,,2191.5044,4,2,4,0.037760598635384834,0.0,25.0,0.0,0.5,0.25,0.25,0.5,,,69.0,72.0,2.0,31.0,11.0,1,1,small_sample_ratio_sensitive,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
2012,Summer,AFG,AFG,Afghanistan,1,0,0,1,1,30560036.0,,2985.319,6,4,6,0.03272247454158758,0.0,16.666666666666664,0.0,0.25,0.16666666666666666,0.16666666666666666,0.25,,,68.0,73.0,9.0,53.0,22.0,1,0,small_sample_ratio_sensitive,Efficiency metrics may be inflated by a small delegation or few entered events.,1,0,0
2024,Summer,ALB,ALB,Albania,2,0,0,2,2,,,21641.074,8,4,9,,,25.0,0.0,0.5,0.2222222222222222,0.25,0.5,,,67.0,,8.0,30.0,24.0,1,0,small_sample_ratio_sensitive,Efficiency metrics may be inflated by a small delegation or few entered events.,0,0,0
1984,Summer,ALG,DZA,Algeria,2,0,0,2,2,21271969.0,331207437500.0,,33,4,17,0.09402044540399622,0.0,6.0606060606060606,0.0,0.5,0.11764705882352941,0.06060606060606061,0.5,0.603851174084821,0.0,30.0,33.0,21.0,20.0,29.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,0
1992,Summer,ALG,DZA,Algeria,2,1,0,1,4,26628570.0,272614500000.0,11241.415,36,7,27,0.07510730016670066,0.03755365008335033,5.555555555555555,2.7777777777777777,0.2857142857142857,0.07407407407407407,0.1111111111111111,0.5714285714285714,0.733636692105519,0.3668183460527595,39.0,42.0,29.0,36.0,21.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
1996,Summer,ALG,DZA,Algeria,3,2,0,1,7,29033045.0,290448625000.0,10808.879,47,9,29,0.10333053250184401,0.06888702166789601,6.382978723404255,4.25531914893617,0.3333333333333333,0.10344827586206896,0.14893617021276595,0.7777777777777778,1.0328849034833614,0.6885899356555742,41.0,54.0,36.0,43.0,24.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2000,Summer,ALG,DZA,Algeria,5,1,1,3,8,30903894.0,335395593750.0,11558.221,51,10,42,0.161791908812527,0.0323583817625054,9.803921568627452,1.9607843137254901,0.5,0.11904761904761904,0.1568627450980392,0.8,1.4907768894921565,0.29815537789843133,35.0,54.0,16.0,28.0,23.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2008,Summer,ALG,DZA,Algeria,2,0,1,1,3,34816963.0,559060250000.0,14206.776,57,12,44,0.05744326407791513,0.0,3.508771929824561,0.0,0.16666666666666666,0.045454545454545456,0.05263157894736842,0.25,0.35774319494186896,0.0,57.0,69.0,66.0,67.0,74.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2012,Summer,ALG,DZA,Algeria,1,1,0,0,3,37646165.0,633323500000.0,14697.54,39,12,29,0.026563130666828878,0.026563130666828878,2.564102564102564,2.564102564102564,0.08333333333333333,0.034482758620689655,0.07692307692307693,0.25,0.1578971884037147,0.1578971884037147,68.0,76.0,78.0,81.0,64.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2016,Summer,ALG,DZA,Algeria,2,0,2,0,4,40850719.0,566563687500.0,15511.686,74,13,48,0.04895874660125321,0.0,2.7027027027027026,0.0,0.15384615384615385,0.041666666666666664,0.05405405405405406,0.3076923076923077,0.3530053274019613,0.0,57.0,71.0,72.0,67.0,69.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,1,1,1
2024,Summer,ALG,DZA,Algeria,3,2,0,1,7,,,15501.92,46,15,47,,,6.521739130434782,4.3478260869565215,0.2,0.06382978723404255,0.15217391304347827,0.4666666666666667,,,59.0,,65.0,68.0,53.0,0,0,balanced_or_midfield,Efficiency metrics are descriptive ratios for comparing scale and normalization views.,0,0,0
