year,sport,sex_category,event_count,medal_opportunities,countries_winning_medals
1896,Athletics,men,12,35,7
1896,Cycling,men,6,16,5
1896,Fencing,men,3,8,3
1896,Gymnastics,men,8,18,3
1896,Shooting,men,5,15,3
1896,Swimming,men,4,10,3
1896,Tennis,men,2,9,5
1896,Weightlifting,men,2,6,3
1896,Wrestling,men,1,3,2
1900,Archery,men,8,20,2
1900,Athletics,men,23,69,12
1900,Basque Pelota,men,1,1,1
1900,Cricket,men,1,3,2
1900,Croquet,mixed,3,7,1
1900,Cycling,men,3,9,5
1900,Equestrianism,mixed,5,15,3
1900,Fencing,men,7,21,4
1900,Football,men,1,5,4
1900,Golf,men,1,3,2
1900,Golf,women,1,3,1
1900,Gymnastics,men,1,3,1
1900,Polo,men,1,9,4
1900,Rowing,men,4,14,6
1900,Rugby,men,1,5,5
1900,Sailing,mixed,8,31,6
1900,Shooting,men,8,25,6
1900,Swimming,men,7,21,8
1900,Tennis,men,2,8,3
1900,Tennis,mixed,1,6,4
1900,Tennis,women,1,4,4
1900,Tug-Of-War,men,1,4,4
1900,Water Polo,men,1,5,4
1904,Archery,men,3,9,1
1904,Archery,women,3,7,1
1904,Athletics,men,24,72,6
1904,Boxing,men,7,18,1
1904,Cycling,men,7,21,1
1904,Diving,men,1,3,2
1904,Fencing,men,5,15,2
1904,Football,men,1,3,2
1904,Golf,men,2,6,2
1904,Gymnastics,men,12,35,4
1904,Lacrosse,men,1,3,2
1904,Roque,men,1,3,1
1904,Rowing,men,5,14,2
1904,Swimming,men,10,30,5
1904,Tennis,men,2,6,1
1904,Tug-Of-War,men,1,4,2
1904,Water Polo,men,1,3,1
1904,Weightlifting,men,2,6,3
1904,Wrestling,men,7,21,4
1906,Athletics,men,21,64,11
1906,Cycling,men,6,18,5
1906,Diving,men,1,3,2
1906,Fencing,men,8,23,8
1906,Football,men,1,4,4
1906,Gymnastics,men,4,12,6
1906,Rowing,men,6,18,4
1906,Shooting,men,12,36,7
1906,Swimming,men,4,12,6
1906,Tennis,men,2,6,3
1906,Tennis,mixed,1,3,2
1906,Tennis,women,1,3,1
1906,Tug-Of-War,men,1,3,3
1906,Weightlifting,men,2,7,5
1906,Wrestling,men,4,12,5
1908,Archery,men,2,6,3
1908,Archery,women,1,3,1
1908,Athletics,men,26,78,13
1908,Boxing,men,5,15,2
1908,Cycling,men,6,18,5
1908,Diving,men,2,7,3
1908,Fencing,men,4,12,6
1908,Figure Skating,men,2,6,3
1908,Figure Skating,mixed,1,3,2
1908,Figure Skating,women,1,3,2
1908,Football,men,1,3,3
1908,Gymnastics,men,2,6,6
1908,Hockey,men,1,3,1
1908,Jeu De Paume,men,1,3,2
1908,Lacrosse,men,1,2,2
1908,Motorboating,mixed,3,3,2
1908,Polo,men,1,2,1
1908,Racquets,men,2,6,1
1908,Rowing,men,4,16,6
1908,Rugby,men,1,2,2
1908,Sailing,mixed,4,9,4
1908,Shooting,men,15,45,8
1908,Swimming,men,6,18,8
1908,Tennis,men,4,12,3
