athlete_id,athlete_name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,source,country_from_noc,country_name,iso3,is_medal,is_gold,medal_score
3,Edgar Aabye,M,,,,Denmark/Sweden,DEN,,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,olympics_dataset_1896_2024,Denmark,Denmark,DNK,1,1,3
37,Arvo Aaltonen,M,,,,Finland,FIN,,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,olympics_dataset_1896_2024,Finland,Finland,FIN,1,0,1
38,Arvo Aaltonen,M,,,,Finland,FIN,,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze,olympics_dataset_1896_2024,Finland,Finland,FIN,1,0,1
41,Paavo Aaltonen,M,,,,Finland,FIN,,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,olympics_dataset_1896_2024,Finland,Finland,FIN,1,0,1
42,Paavo Aaltonen,M,,,,Finland,FIN,,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold,olympics_dataset_1896_2024,Finland,Finland,FIN,1,1,3
44,Paavo Aaltonen,M,,,,Finland,FIN,,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold,olympics_dataset_1896_2024,Finland,Finland,FIN,1,1,3
48,Paavo Aaltonen,M,,,,Finland,FIN,,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,olympics_dataset_1896_2024,Finland,Finland,FIN,1,1,3
50,Paavo Aaltonen,M,,,,Finland,FIN,,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze,olympics_dataset_1896_2024,Finland,Finland,FIN,1,0,1
79,Ragnhild Aamodt,F,,,,Norway,NOR,,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold,olympics_dataset_1896_2024,Norway,Norway,NOR,1,1,3
86,Alf Aanning,M,,,,Norway,NOR,,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver,olympics_dataset_1896_2024,Norway,Norway,NOR,1,0,2
91,Willemien Aardenburg,F,,,,Netherlands,NED,,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze,olympics_dataset_1896_2024,Netherlands,Netherlands,NLD,1,0,1
92,Pepijn Aardewijn,M,,,,Netherlands,NED,,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver,olympics_dataset_1896_2024,Netherlands,Netherlands,NLD,1,0,2
